beta,Pe,chiMax
0.05,10,0
0.05,25,0
0.05,50,0
0.05,100,0
0.05,150,0
0.05,200,0.0275
0.05,250,0.0704
0.05,300,0.1088
0.05,350,0.1413
0.05,400,0.1686
0.05,500,0.2116
0.05,600,0.244
0.05,700,0.2694
0.05,800,0.29
0.05,900,0.3071
0.05,1000,0.3215
0.1,10,0
0.1,25,0
0.1,50,0
0.1,100,1E-04
0.1,150,0
0.1,200,0
0.1,250,0.0165
0.1,300,0.0389
0.1,350,0.0596
0.1,400,0.0778
0.1,500,0.1072
0.1,600,0.1295
0.1,700,0.1472
0.1,800,0.162
0.1,900,0.1748
0.1,1000,0.1859
0.125,10,0
0.125,25,0
0.125,50,1.00E-04
0.125,100,1.00E-04
0.125,150,1.00E-04
0.125,200,1.00E-04
0.125,250,0.0021
0.125,300,0.0158
0.125,350,0.0309
0.125,400,0.045
0.125,500,0.0685
0.125,600,0.0866
0.125,700,0.1009
0.125,800,0.1127
0.125,900,0.1231
0.125,1000,0.1324
0.15,10,0
0.15,25,0
0.15,50,1E-04
0.15,100,1E-04
0.15,150,1E-04
0.15,200,1E-04
0.15,250,1E-04
0.15,300,0.0017
0.15,350,0.0103
0.15,400,0.02
0.15,500,0.0377
0.15,600,0.0521
0.15,700,0.0637
0.15,800,0.0732
0.15,900,0.0811
0.15,1000,0.0879
0.175,10,0
0.175,25,0
0.175,50,1E-04
0.175,100,1E-04
0.175,150,1E-04
0.175,200,1E-04
0.175,250,1E-04
0.175,300,1E-04
0.175,350,1E-04
0.175,400,0.0036
0.175,500,0.0148
0.175,600,0.0254
0.175,700,0.0345
0.175,800,0.0424
0.175,900,0.0492
0.175,1000,0.0549
0.2,10,0
0.2,25,0
0.2,50,1E-04
0.2,100,1E-04
0.2,150,1E-04
0.2,200,1E-04
0.2,250,1E-04
0.2,300,1E-04
0.2,350,1E-04
0.2,400,1E-04
0.2,500,0.0011
0.2,600,0.0068
0.2,700,0.0131
0.2,800,0.019
0.2,900,0.024
0.2,1000,0.0284
0.25,10,0
0.25,25,0
0.25,50,1E-04
0.25,100,1E-04
0.25,150,1E-04
0.25,200,1E-04
0.25,250,1E-04
0.25,300,1E-04
0.25,350,1E-04
0.25,400,1E-04
0.25,500,0.0002
0.25,600,0.0002
0.25,700,0.0002
0.25,800,0.0002
0.25,900,0.0002
0.25,1000,0.0002
0.5,10,0
0.5,25,0
0.5,50,0
0.5,100,0
0.5,150,0
0.5,200,0
0.5,250,0
0.5,300,0
0.5,350,0
0.5,400,0
0.5,500,0
0.5,600,0
0.5,700,0
0.5,800,0
0.5,900,0
0.5,1000,0
