Ma,Pe,x_f
0.05,1,0.0018
0.05,2,0.003
0.05,3,0.0042
0.05,5,0.0054
0.05,10,0.0072
0.05,20,0.009
0.05,30,0.0102
0.05,50,0.0108
0.05,100,0.0096
0.05,150,0.0078
0.05,250,0.0054
0.05,350,0.0036
0.05,500,0.0024
0.05,750,0.0018
0.05,1000,0.0012
0.1,1,0.0036
0.1,2,0.006
0.1,3,0.0084
0.1,5,0.0114
0.1,10,0.0144
0.1,20,0.0186
0.1,30,0.021
0.1,50,0.0228
0.1,100,0.021
0.1,150,0.0186
0.1,250,0.0138
0.1,350,0.0114
0.1,500,0.0084
0.1,750,0.0066
0.1,1000,0.0054
0.1,1500,0.0042
0.1,2250,0.0036
0.15,1,0.0048
0.15,2,0.009
0.15,3,0.012
0.15,5,0.0168
0.15,10,0.0222
0.15,20,0.0288
0.15,30,0.0324
0.15,50,0.0348
0.15,100,0.0342
0.15,150,0.0318
0.15,250,0.0282
0.15,350,0.0264
0.15,500,0.0258
0.15,750,0.027
0.15,1000,0.0294
0.15,1500,0.0348
0.15,2250,0.0408
0.15,3200,0.0462
0.15,4500,0.0516
0.15,6800,0.057
0.15,10000,0.0612
0.2,1,0.0066
0.2,2,0.012
0.2,3,0.0162
0.2,5,0.0222
0.2,10,0.03
0.2,20,0.039
0.2,30,0.0438
0.2,50,0.048
0.2,100,0.0498
0.2,150,0.0486
0.2,250,0.0492
0.2,350,0.0522
0.2,500,0.0582
0.2,750,0.0684
0.2,1000,0.0774
0.2,1500,0.0912
0.2,2250,0.105
0.2,3200,0.1158
0.2,4500,0.1254
0.2,6800,0.135
0.2,10000,0.1434
0.3,1,0.0096
0.3,2,0.018
0.3,3,0.0246
0.3,5,0.0342
0.3,10,0.0468
0.3,20,0.0606
0.3,30,0.069
0.3,50,0.0786
0.3,100,0.0888
0.3,150,0.0972
0.3,250,0.114
0.3,350,0.1296
0.3,500,0.15
0.3,750,0.1758
0.3,1000,0.1968
0.3,1500,0.231
0.3,2250,0.2688
0.3,3200,0.3012
0.3,4500,0.3306
0.3,6800,0.3612
0.3,10000,0.3846
0.4,1,0.0132
0.4,2,0.024
0.4,3,0.033
0.4,5,0.0462
0.4,10,0.0642
0.4,20,0.084
0.4,30,0.0972
0.4,50,0.1134
0.4,100,0.138
0.4,150,0.1572
0.4,250,0.1902
0.4,350,0.2178
0.4,500,0.255
0.4,750,0.3078
0.4,1000,0.351
0.4,1500,0.4122
0.4,2250,0.4704
0.4,3200,0.516
0.4,4500,0.555
0.4,6800,0.5958
0.4,10000,0.6276
0.5,1,0.0162
0.5,2,0.0306
0.5,3,0.0414
0.5,5,0.0576
0.5,10,0.0822
0.5,20,0.1092
0.5,30,0.1278
0.5,50,0.1518
0.5,100,0.1914
0.5,150,0.2214
0.5,250,0.2694
0.5,350,0.3174
0.5,500,0.3762
0.5,750,0.4386
0.5,1000,0.4758
0.5,2250,0.6414
0.5,3200,0.6954
0.5,4500,0.744
0.5,6800,0.8178
0.5,10000,0.9048
